,id,Name,Year,Rating,Genre,Actors,Director,One-line
1094,1094,Invasion of the Body Snatchers,1978,7.4,"Horror, Sci-Fi            ","['Donald Sutherland', 'Brooke Adams', 'Jeff Goldblum', 'Veronica Cartwright']",Philip Kaufman,"When strange seeds drift to earth from space, mysterious pods begin to grow and invade San Francisco, replicating the city's residents one body at a time."
1095,1095,Funny Face,1957,7,"Comedy, Musical, Romance            ","['Audrey Hepburn', 'Fred Astaire', 'Kay Thompson', 'Michel Auclair']",Stanley Donen,An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.
1096,1096,Children of Men,2006,7.9,"Action, Drama, Sci-Fi            ","['Julianne Moore', 'Clive Owen', 'Chiwetel Ejiofor', 'Michael Caine']",Alfonso Cuarón,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
1097,1097,The Crime of Monsieur Lange,1936,7.3,"Comedy, Crime, Drama            ","['René Lefèvre', 'Florelle', 'Jules Berry', 'Marcel Lévesque']",Jean Renoir,"The boss of a publishing company is a womanizer and a jerk, but what would happen if he suddenly disappeared?"
1098,1098,Persepolis,2007,8,"Animation, Biography, Drama            ","['Marjane Satrapi', 'Chiara Mastroianni', 'Catherine Deneuve', 'Gena Rowlands', 'Danielle Darrieux']",Vincent Paronnaud,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
1099,1099,The Ghost and Mrs. Muir,1947,7.8,"Comedy, Drama, Fantasy            ","['Gene Tierney', 'Rex Harrison', 'George Sanders', 'Edna Best']",Joseph L. Mankiewicz,"In 1900, a young widow finds her seaside cottage is haunted and forms a unique relationship with the ghost."
1100,1100,Mother,1926,7.5,Drama            ,"['Vera Baranovskaya', 'Nikolay Batalov', 'Aleksandr Chistyakov', 'Anna Zemtsova']",Vsevolod Pudovkin,"A story about a family torn apart by a worker's strike. At first, the mother wants to protect her family from the troublemakers, but eventually she realizes that her son is right and the workers should strike."
1101,1101,The Seventh Continent,1989,7.6,Drama            ,"['Birgit Doll', 'Dieter Berner', 'Leni Tanzer', 'Udo Samel']",Michael Haneke,"A European family who plan on escaping to Australia seem caught up in their daily routine, only troubled by minor incidents. However, behind their apparent calm and repetitive existence, they are actually planning something sinister."
1102,1102,The Dirty Dozen,1967,7.7,"Action, Adventure, War            ","['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'John Cassavetes']",Robert Aldrich,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
1103,1103,The Truth,1960,7.6,Drama            ,"['Brigitte Bardot', 'Paul Meurisse', 'Charles Vanel', 'Sami Frey']",Henri-Georges Clouzot,"A liberated small-town girl and the family's black sheep moves to Paris with her sister, only to find herself standing trial for the shocking murder of her young lover. Was his killing premeditated or was this a crime of passion?"
1104,1104,The Man Who Knew Too Much,1956,7.4,"Drama, Thriller            ","['James Stewart', 'Doris Day', 'Brenda de Banzie', 'Bernard Miles']",Alfred Hitchcock,"An American doctor and his wife, a former singing star, witness a murder while vacationing in Morocco, and are drawn into a twisting plot of international intrigue when their young son is kidnapped."
1105,1105,Limit,1931,7.1,"Drama, Romance            ","['Olga Breno', 'Tatiana Rey', 'Raul Schnoor', 'Brutus Pedreira']",Mario Peixoto,"Three people (Raul Schnoor, Olga Breno and Tatiana Rey) sail aimlessly while remembering their past."
1106,1106,In the Heat of the Sun,1994,8.1,"Drama, Romance            ","['Yu Xia', 'Wei Chen', 'Shaobo Dai', 'Hua Fang']",Wen Jiang,"Beijing, 1970s. Now that the CR has driven most adults to the provinces, 14-year-old Monkey and his pals have free reign over the city. They hang around, get up to no good, and discover that unsolvable mystery referred to as ""girls."""
1107,1107,Cairo Station,1958,7.5,"Crime, Drama            ","['Farid Shawqi', 'Hind Rustum', 'Youssef Chahine', 'Hassan el Baroudi']",Youssef Chahine,A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.
1108,1108,The Diving Bell and the Butterfly,2007,8,"Biography, Drama            ","['Mathieu Amalric', 'Emmanuelle Seigner', 'Marie-Josée Croze', 'Anne Consigny']",Julian Schnabel,"The true story of Elle editor <a href=""/name/nm1568285"">Jean-Dominique Bauby</a> who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed."
1109,1109,Street of Shame,1956,7.8,Drama            ,"['Machiko Kyô', 'Aiko Mimasu', 'Ayako Wakao', 'Michiyo Kogure']",Kenji Mizoguchi,The personal tales of various prostitutes who occupy a brothel.
1110,1110,Welcome Mr. Marshall!,1953,7.9,Comedy            ,"['Lolita Sevilla', 'Manolo Morán', 'José Isbert', 'Alberto Romea']",Luis García Berlanga,"After finding out that North American people are visiting the Spanish villages, the citizens of Villar del Río start preparing themselves to welcome them when they arrive."
1111,1111,The Chaos Class Failed the Class,1975,8.9,Comedy            ,"['Kemal Sunal', 'Münir Özkul', 'Semra Özdamar', 'Adile Nasit']",Ertem Egilmez,A young and beautiful female teacher starts working in an all boys high school.
1112,1112,Thalapathi,1991,8.5,"Action, Crime, Drama            ","['Rajinikanth', 'Mammootty', 'Shobana', 'Arvind Swamy']",Mani Ratnam,An orphan named Surya raised in a slum befriends a good crime boss named Devaraj and works for him. Their existence is threatened when a new honest district collector arrives.
1113,1113,A Taste of Honey,1961,7.4,Drama            ,"['Rita Tushingham', 'Dora Bryan', 'Robert Stephens', 'Murray Melvin']",Tony Richardson,"A pregnant teenage girl must fend for herself when her mother remarries, leaving the girl with only a new male friend for support."
1114,1114,He Who Gets Slapped,1924,7.8,"Drama, Romance, Thriller            ","['Lon Chaney', 'Norma Shearer', 'John Gilbert', 'Ruth King']",Victor Sjöström,A bitter clown endeavors to rescue the young woman he loves from the lecherous count who once betrayed him.
1115,1115,My Life as a Dog,1985,7.6,"Drama, Comedy            ","['Anton Glanzelius', 'Tomas von Brömssen', 'Anki Lidén', 'Melinda Kinnaman']",Lasse Hallström,"In the late '50s, young Ingemar learns a lot about life and himself when he is sent away from his sick mother to live with his aunt and uncle in a town full of eccentrics."
